"","country","scode","year","gdp","population","expectancy","polity2","cinc","meat_con_pc","gini","region"
"1","Albania","ALB",1960,NA,1608800,62.279,-9,0.0004933,27.10127388,-1.2,"Europe"
"2","Albania","ALB",1961,NA,1659800,63.298,-9,0.0007053,27.36878982,-0.416666667,"Europe"
"3","Albania","ALB",1962,NA,1711319,64.187,-9,0.0006796,27.63630575,0.366666667,"Europe"
"4","Albania","ALB",1963,NA,1762621,64.911,-9,0.0006806,27.49426747,1.15,"Europe"
"5","Albania","ALB",1964,NA,1814135,65.461,-9,0.0006794,28.2535033,1.933333333,"Europe"
"6","Albania","ALB",1965,NA,1864791,65.848,-9,0.0006944,28.644586,2.716666667,"Europe"
"7","Albania","ALB",1966,NA,1914573,66.108,-9,0.0006579,29.36369427,3.5,"Europe"
"8","Albania","ALB",1967,NA,1965598,66.302,-9,0.0006402,29.88407646,4.283333333,"Europe"
"9","Albania","ALB",1968,NA,2022272,66.485,-9,0.000628,30.84331204,5.066666667,"Europe"
"10","Albania","ALB",1969,NA,2081695,66.687,-9,0.0006205,31.33184711,5.85,"Europe"
"11","Albania","ALB",1970,NA,2135479,66.933,-9,0.0006281,32.58535025,6.633333333,"Europe"
"12","Albania","ALB",1971,NA,2187853,67.235,-9,0.0006401,33.05987248,7.416666667,"Europe"
"13","Albania","ALB",1972,NA,2243126,67.58,-9,0.0006421,33.233121,8.2,"Europe"
"14","Albania","ALB",1973,NA,2296752,67.951,-9,0.0006317,32.98789811,8.983333333,"Europe"
"15","Albania","ALB",1974,NA,2350124,68.341,-9,0.0006057,33.41783436,9.766666667,"Europe"
"16","Albania","ALB",1975,NA,2404831,68.734,-9,0.0006029,34.43949054,10.55,"Europe"
"17","Albania","ALB",1976,NA,2458526,69.108,-9,0.0006052,35.68917187,11.33333333,"Europe"
"18","Albania","ALB",1977,NA,2513546,69.447,-9,0.0005626,35.49872618,12.11666667,"Europe"
"19","Albania","ALB",1978,NA,2566266,69.741,-9,0.0005572,37.6738853,12.9,"Europe"
"20","Albania","ALB",1979,NA,2617832,69.99,-9,0.0005632,39.23057324,13.68333333,"Europe"
"21","Albania","ALB",1980,NA,2671997,70.207,-9,0.0006006,39.87388535,14.46666667,"Europe"
"22","Albania","ALB",1981,NA,2726056,70.416,-9,0.0005695,39.48216583,15.25,"Europe"
"23","Albania","ALB",1982,NA,2784278,70.635,-9,0.000564,40.28280257,16.03333333,"Europe"
"24","Albania","ALB",1983,NA,2843960,70.876,-9,0.0005554,40.20573259,16.81666667,"Europe"
"25","Albania","ALB",1984,1857338012,2904429,71.134,-9,0.0005342,40.910828,17.6,"Europe"
"26","Albania","ALB",1985,1897050133,2964762,71.388,-9,0.0005351,40.96687898,18.38333333,"Europe"
"27","Albania","ALB",1986,2097326250,3022635,71.605,-9,0.0005357,41.07898078,19.16666667,"Europe"
"28","Albania","ALB",1987,2080796250,3083605,71.76,-9,0.0005299,41.47579619,19.95,"Europe"
"29","Albania","ALB",1988,2051236250,3142336,71.843,-9,0.0005083,41.5089171,20.73333333,"Europe"
"30","Albania","ALB",1989,2253090000,3227943,71.86,-9,0.0005057,41.44076427,21.51666667,"Europe"
"31","Albania","ALB",1990,2028553750,3286542,71.836,1,0.0005321,42.28407654,22.3,"Europe"
"32","Albania","ALB",1991,1099559028,3266790,71.803,1,0.000453,42.82038227,23.08333333,"Europe"
