scode,sname,covid_cases,party,health_access,diabetes_hipert,personal_medico_khab,fiscal_autonomy,informalidad_lab,avg_wage,wage_ineq,occupied_noincome,gdp_pc,indv_econ_dep,international_linkages,crime_khab,ipop
01,Aguascalientes,19,PAN,45.28741863,5.811442105,3.239664184,3.708687371,46.30973344,4287.670163,0.530734409,18.62688265,62081.06882,0.73,0.528008361,10.73751686,1376324
02,Baja California,20,MORENA,47.9482485,4.723358129,2.411005797,10.41399314,42.85603846,5736.509582,0.135479978,8.724809858,88730.12384,0.62,0.054689547,40.25473402,3652031.6
03,Baja California Sur,9,PAN,49.21072653,4.706470355,4.315313797,5.183519361,42.56613297,5296.199586,0.319393499,7.873779957,82644.09315,0.6,8.523619181,27.11634978,836795.6
04,Campeche,3,PRI,34.30168774,3.207246978,3.462702,6.698137439,59.78399016,3626.403135,1.370385042,13.08302372,79293.4263,0.68,0.331292257,5.687611343,930778.6
05,Coahuila,15,PRI,52.26921413,7.381098962,3.038339415,8.988005312,40.8596946,4491.535319,0.501429385,7.128460124,87437.44081,0.65,0.388277219,12.09333063,3153496.6
06,Colima,2,PRI,36.36156491,6.469905084,3.773451554,3.606013147,52.44515255,4268.18776,0.714669037,9.482043206,65834.53158,0.64,0.611970852,8.629527141,782649.4
07,Chiapas,6,MORENA,16.15932902,3.018988969,1.574298531,3.947908389,79.70483972,1961.373459,3.424491018,20.70596225,28299.14699,0.79,0.046693246,8.226273223,5601573.6
08,Chihuahua,6,PAN,49.07989903,6.045223388,2.378726865,17.69383908,40.07147085,4491.907775,0.417122567,16.41070844,64756.35055,0.68,0.292187166,20.20869305,3670498.6
09,Ciudad de México,177,MORENA,40.98024278,10.21411476,4.692724437,40.53355773,51.17070293,4858.359755,0.473824859,15.18885342,134592.7872,0.53,31.33032906,19.13475411,9059342.4
10,Durango,7,PAN,40.09384676,5.251982723,2.949923294,0.651741247,55.29588409,3323.899755,1.070834103,12.34727917,52381.257,0.75,0.179636329,14.44692124,1831041.2
11,Guanajuato,37,PAN,30.0304149,6.041924457,1.611633571,6.184922538,62.89665323,3445.917957,0.841164277,15.3191477,44595.16708,0.82,1.975819265,12.34745785,6434468
12,Guerrero,10,PRI,20.9505595,3.675322447,1.855565117,2.589766716,76.6666898,3213.118203,1.518096708,37.44002976,31361.32219,0.92,4.684812778,9.421292553,3826473.6
13,Hidalgo,12,PRI,19.78558637,5.053025629,1.820473274,2.253909811,75.44409627,3180.390089,1.604653881,22.43774444,36274.13154,0.74,0,9.085066046,3176224.4
14,Jalisco,82,MC,33.28669843,6.264788808,2.484474994,7.974651257,60.39203408,4422.676396,0.540891584,33.04669407,67030.25417,0.73,18.00157953,14.39612062,8308392.4
15,Edo.México,85,PRI,34.56487917,5.044960931,1.501034174,6.716896579,60.59495606,4048.321801,0.712560268,18.99918159,42301.38865,0.65,0.500665064,15.87529542,17045249
16,Michoacán,17,PRD,21.9260292,5.805778629,1.399353522,4.336094706,73.15305006,3214.661565,1.279818678,19.52368433,34765.87252,0.77,1.279049615,6.379892326,4966979.4
17,Morelos,4,ES,25.07334701,5.884288082,2.445655041,2.957750184,68.69627935,3756.287559,0.70578681,37.34958519,57319.84289,0.71,0,20.98915628,2040151.8
18,Nayarit,5,PAN,27.143132,4.952863315,2.873749333,4.537919126,64.61215921,3544.102148,1.091625345,15.53054032,42671.55803,0.75,0,10.20353206,1301451
19,Nuevo León,64,INDEP,51.85814738,4.753031113,2.543478917,12.06279429,41.56805167,5662.901264,0.309483224,8.927672182,107433.8937,0.61,3.762161654,15.36838226,5380123.6
20,Oaxaca,12,PRI,14.81280656,4.733763206,1.580075463,3.130744249,80.63946529,2758.331264,2.417857913,27.63388289,30180.25886,0.88,0.550481456,10.75197773,4274187.6
